Age Group,Count,Percentage
0-4,865,0.3286436704748806
5-9,2744,1.042541308419737
10-14,2478,0.9414786305627216
15-19,5377,2.0429098452525234
20-24,30173,11.463775108946326
25-29,45739,17.37784143797753
30-34,47879,18.190902079383594
35-39,42819,16.268431590825333
40-44,34345,13.048863424808987
45-49,23923,9.089182114185629
50-54,14091,5.35366238226768
55-59,7337,2.7875822084094786
60-64,3350,1.2727818451917343
65-69,1391,0.5284894169139409
70-74,512,0.19452665813079636
75-79,146,0.05547049235760991
80-84,26,0.009878306858204504
85-89,7,0.0026595441541319817
90-94,1,0.00037993487916171165
